"","GSM432030","GSM432031","GSM432032","GSM432033","GSM432034","GSM432209","GSM432210","GSM432211","GSM432212","GSM432213","GSM432241","GSM432231","GSM432232","GSM432233","GSM432260","GSM432261","GSM432393","GSM432394","GSM432395","GSM432396","GSM432397","GSM432398","GSM432399","GSM432400","GSM432414","GSM432415","GSM432416"
"1564444_at",7.36412196428703,7.43693125223046,7.41291455188147,7.39157303537978,7.04787145605888,6.89223685213974,6.99941087393815,7.21271553887885,7.07279073205648,6.94744364601088,7.59927752823347,7.5649860969125,7.26849749749596,7.25037619876385,7.32029177879782,7.91304410050095,7.32029177879782,7.91247665411583,7.55629340488743,7.67236889370138,7.53149583661611,7.26971800682911,7.12369179632193,7.24454738737558,7.10105899396718,7.27721806230789,7.39679985379644
"1558336_at",6.44907636709671,6.70254139484773,6.54917617882426,6.38028058390702,6.53075685240759,6.31114927081655,6.39362925275772,6.45564508295757,6.54656393757066,6.37140452462315,6.68831471213248,6.3585301271516,6.24843141418471,6.66311664472043,6.44957408165731,6.8112024073901,6.42900525951356,7.06026039784824,6.55737315113133,6.86977888506501,6.79676869438182,6.4220444269345,6.18335050894484,6.19446855629279,6.41662243731218,6.2743703813104,6.25228463993892
"214858_at",5.96489135305027,5.54940977882458,5.43554671372563,5.67534323275703,5.26691366754254,5.23850314842316,5.12217127665739,5.53449810642491,5.54403949223333,5.24243300654632,5.18805074686047,5.57512263743018,5.92547602121295,5.72475905575315,5.34097220040382,5.85907438451472,5.45760981635096,5.55601040274561,5.54046720051883,5.49540351104666,5.7099902585739,5.49540351104666,5.60381394296128,5.36455235020974,5.20313553227014,5.26122147391256,5.58440986205822
"1558782_a_at",7.92573835092465,8.00599729002768,7.92303096772274,7.69165675518568,7.5930003959081,7.59542190451654,7.70508731466197,7.55274958510712,7.55982274492357,7.84296140068646,8.05155427019493,7.96904039759316,7.98257671674071,8.10871097057399,7.82670186116666,8.10212848460343,7.7915386143453,8.09919743803481,7.8225009633877,7.88958153912639,7.88221687883478,7.77772534370804,7.60957846989352,7.58014326655324,7.5925110908428,7.58170417848873,7.6400284215783
"235443_at",6.57838924200376,6.78638032768951,7.02623896085735,6.48180670557264,6.79453381906079,6.60280080703058,6.83235439704883,7.01836036846131,7.11032469130919,7.02392125524262,6.69069619809249,6.60994865611601,6.36761370355652,6.80159086956537,6.74792564063479,6.65495671384255,6.98522291085351,6.67510719331306,7.01737834277273,6.74555339147351,6.7976295224944,6.71225354250045,6.69680895020559,7.0883854759744,6.5287367024712,6.48825113972035,6.72561322720899
"239062_at",8.05191257771944,8.10291861380547,8.10315449428422,7.91418111156558,7.95052097607495,7.97999755528842,8.04592229620525,8.33171796997531,7.95052097607495,7.77205249229077,7.86870439917179,7.90261605621734,7.58965968138999,7.68058660426891,7.7208261287584,7.30704723265484,7.8168473663494,7.674711929056,7.91292866094069,8.05428985008095,7.80358521205362,7.73272343794618,7.97482463527398,8.13384091684513,8.32881984117637,8.13587212562923,8.09565758069778
"1557726_at",6.61438134793444,6.76893133978359,6.64277296604045,6.4768126125586,6.08071710211507,5.94620075993366,6.56355288028448,6.46053351854915,6.25146817758445,6.32759538663869,6.46343198842851,6.48452888494331,6.55613882042982,6.26656805885657,6.69433431564053,6.7761415576039,6.7052644602942,7.15351511051024,6.66189255260295,6.45334174068406,6.55428519966141,6.52425674467869,6.18824431518081,6.20489404926581,6.48547009285253,6.30732556777016,6.65892100296587
"219442_at",8.7533458939333,8.69966940738934,8.81403273870383,8.66568470999469,8.53937161984543,8.45182168187272,8.5934151072156,8.41912208911273,8.46746378530748,9.10851877663236,8.57220560762116,8.75499002308255,8.52105532708984,8.4109481061624,8.86136634972287,8.7533458939333,9.05828328587257,8.8119597593825,8.53926560585448,8.75281695304862,8.86480918537735,8.78445061145336,8.88093373876829,8.79143124063167,9.06123112044364,9.09844087596326,8.95410214866501
"209772_s_at",12.672748416617,12.602536074333,12.6563820639615,12.9394448191264,12.9868762026899,12.9923301652263,12.7951289511672,12.8044358448621,12.8823694445303,12.7704425729784,12.5738510375026,12.4850200229602,12.6406525141248,12.6336965137567,13.0165174602807,11.8468808042546,12.7954029605193,12.7425101795205,12.8039928054281,12.6320816200447,12.4466921299278,12.3536885810541,13.0153469636452,13.0278751079158,12.9101590607574,12.7849375936349,12.9351365923341
"232731_x_at",5.32543286710427,5.29470171351438,4.94128511291529,5.12980992322151,5.12980992322151,4.97430307039832,4.93355961016465,4.88566350714669,5.34969991247285,5.43785187475037,5.37065739353442,5.15396776936328,5.12980992322151,4.98267416241997,4.85477976860552,5.10075821573933,4.96546008554873,5.04038637390966,5.07340128875274,5.15266687413461,5.42391168216264,5.17311779595651,5.35308398409897,5.40236146059487,5.08202653857447,4.98008992783462,4.79958529463841
